mean_roz,asinh_zor
0,687
1,686
2,685
3,684
4,683
5,682
6,681
7,680
8,679
9,678
10,677
11,676
12,675
13,674
14,674
15,673
16,672
17,671
18,670
19,669
20,668
21,667
22,666
23,666
24,665
25,664
26,663
27,662
28,661
29,660
30,660
31,659
32,658
33,657
34,656
35,655
36,655
37,654
38,653
39,652
40,651
41,651
42,650
43,649
44,648
45,647
46,647
47,646
48,645
49,644
50,643
51,643
52,642
53,641
54,640
55,639
56,639
57,638
58,637
59,636
60,636
61,635
62,634
63,633
64,633
65,632
66,631
67,630
68,630
69,629
70,628
71,627
72,627
73,626
74,625
75,625
76,624
77,623
78,622
79,622
80,621
81,620
82,620
83,619
84,618
85,617
86,617
87,616
88,615
89,615
90,614
91,613
92,613
93,612
94,611
95,611
96,610
97,609
98,609
99,608
100,607
101,607
102,606
103,605
104,605
105,604
106,603
107,603
108,602
109,601
110,601
111,600
112,599
113,599
114,598
115,597
116,597
117,596
118,595
119,595
120,594
121,594
122,593
123,592
124,592
125,591
126,590
127,590
128,589
129,589
130,588
131,587
132,587
133,586
134,586
135,585
136,584
137,584
138,583
139,583
140,582
141,581
142,581
143,580
144,580
145,579
146,578
147,578
148,577
149,577
150,576
151,576
152,575
153,574
154,574
155,573
156,573
157,572
158,571
159,571
160,570
161,570
162,569
163,569
164,568
165,568
166,567
167,566
168,566
169,565
170,565
171,564
172,564
173,563
174,563
175,562
176,561
177,561
178,560
179,560
180,559
181,559
182,558
183,558
184,557
185,557
186,556
187,556
188,555
189,555
190,554
191,553
192,553
193,552
194,552
195,551
196,551
197,550
198,550
199,549
200,549
201,548
202,548
203,547
204,547
205,546
206,546
207,545
208,545
209,544
210,544
211,543
212,543
213,542
214,542
215,541
216,541
217,540
218,540
219,539
220,539
221,538
222,538
223,537
224,537
225,536
226,536
227,535
228,535
229,534
230,534
231,533
232,533
233,533
234,532
235,532
236,531
237,531
238,530
239,530
240,529
241,529
242,528
243,528
244,527
245,527
246,526
247,526
248,526
249,525
250,525
251,524
252,524
253,523
254,523
255,522
256,522
257,521
258,521
259,521
260,520
261,520
262,519
263,519
264,518
265,518
266,517
267,517
268,517
269,516
270,516
271,515
272,515
273,514
274,514
275,513
276,513
277,513
278,512
279,512
280,511
281,511
282,510
283,510
284,510
285,509
286,509
287,508
288,508
289,507
290,507
291,507
292,506
293,506
294,505
295,505
296,504
297,504
298,504
299,503
300,503
301,502
302,502
303,502
304,501
305,501
306,500
307,500
308,500
309,499
310,499
311,498
312,498
313,498
314,497
315,497
316,496
317,496
318,495
319,495
320,495
321,494
322,494
323,494
324,493
325,493
326,492
327,492
328,492
329,491
330,491
331,490
332,490
333,490
334,489
335,489
336,488
337,488
338,488
339,487
340,487
341,486
342,486
343,486
344,485
345,485
346,485
347,484
348,484
349,483
350,483
351,483
352,482
353,482
354,482
355,481
356,481
357,480
358,480
359,480
360,479
361,479
362,479
363,478
364,478
365,477
366,477
367,477
368,476
369,476
370,476
371,475
372,475
373,475
374,474
375,474
376,473
377,473
378,473
379,472
380,472
381,472
382,471
383,471
384,471
385,470
386,470
387,470
388,469
389,469
390,468
391,468
392,468
393,467
394,467
395,467
396,466
397,466
398,466
399,465
400,465
401,465
402,464
403,464
404,464
405,463
406,463
407,463
408,462
409,462
410,462
411,461
412,461
413,461
414,460
415,460
416,460
417,459
418,459
419,459
420,458
421,458
422,458
423,457
424,457
425,457
426,456
427,456
428,456
429,455
430,455
431,455
432,454
433,454
434,454
435,453
436,453
437,453
438,452
439,452
440,452
441,451
442,451
443,451
444,450
445,450
446,450
447,449
448,449
449,449
450,448
451,448
452,448
453,447
454,447
455,447
456,446
457,446
458,446
459,446
460,445
461,445
462,445
463,444
464,444
465,444
466,443
467,443
468,443
469,442
470,442
471,442
472,441
473,441
474,441
475,441
476,440
477,440
478,440
479,439
480,439
481,439
482,438
483,438
484,438
485,438
486,437
487,437
488,437
489,436
490,436
491,436
492,435
493,435
494,435
495,434
496,434
497,434
498,434
499,433
500,433
501,433
502,432
503,432
504,432
505,432
506,431
507,431
508,431
509,430
510,430
511,430
512,429
513,429
514,429
515,429
516,428
517,428
518,428
519,427
520,427
521,427
522,427
523,426
524,426
525,426
526,425
527,425
528,425
529,425
530,424
531,424
532,424
533,423
534,423
535,423
536,423
537,422
538,422
539,422
540,422
541,421
542,421
543,421
544,420
545,420
546,420
547,420
548,419
549,419
550,419
551,418
552,418
553,418
554,418
555,417
556,417
557,417
558,417
559,416
560,416
561,416
562,415
563,415
564,415
565,415
566,414
567,414
568,414
569,414
570,413
571,413
572,413
573,412
574,412
575,412
576,412
577,411
578,411
579,411
580,411
581,410
582,410
583,410
584,410
585,409
586,409
587,409
588,409
589,408
590,408
591,408
592,407
593,407
594,407
595,407
596,406
597,406
598,406
599,406
600,405
601,405
602,405
603,405
604,404
605,404
606,404
607,404
608,403
609,403
610,403
611,403
612,402
613,402
614,402
615,402
616,401
617,401
618,401
619,401
620,400
621,400
622,400
623,400
624,399
625,399
626,399
627,399
628,398
629,398
630,398
631,398
632,397
633,397
634,397
635,397
636,396
637,396
638,396
639,396
640,395
641,395
642,395
643,395
644,394
645,394
646,394
647,394
648,393
649,393
650,393
651,393
652,392
653,392
654,392
655,392
656,392
657,391
658,391
659,391
660,391
661,390
662,390
663,390
664,390
665,389
666,389
667,389
668,389
669,388
670,388
671,388
672,388
673,387
674,387
675,387
676,387
677,387
678,386
679,386
680,386
681,386
682,385
683,385
684,385
685,385
686,384
687,384
688,384
689,384
690,384
691,383
692,383
693,383
694,383
695,382
696,382
697,382
698,382
699,381
700,381
701,381
702,381
703,381
704,380
705,380
706,380
707,380
708,379
709,379
710,379
711,379
712,379
713,378
714,378
715,378
716,378
717,377
718,377
719,377
720,377
721,377
722,376
723,376
724,376
725,376
726,375
727,375
728,375
729,375
730,375
731,374
732,374
733,374
734,374
735,373
736,373
737,373
738,373
739,373
740,372
741,372
742,372
743,372
744,372
745,371
746,371
747,371
748,371
749,370
750,370
751,370
752,370
753,370
754,369
755,369
756,369
757,369
758,369
759,368
760,368
761,368
762,368
763,367
764,367
765,367
766,367
767,367
768,366
769,366
770,366
771,366
772,366
773,365
774,365
775,365
776,365
777,365
778,364
779,364
780,364
781,364
782,363
783,363
784,363
785,363
786,363
787,362
788,362
789,362
790,362
791,362
792,361
793,361
794,361
795,361
796,361
797,360
798,360
799,360
800,360
801,360
802,359
803,359
804,359
805,359
806,359
807,358
808,358
809,358
810,358
811,358
812,357
813,357
814,357
815,357
816,357
817,356
818,356
819,356
820,356
821,356
822,355
823,355
824,355
825,355
826,355
827,354
828,354
829,354
830,354
831,354
832,353
833,353
834,353
835,353
836,353
837,352
838,352
839,352
840,352
841,352
842,352
843,351
844,351
845,351
846,351
847,351
848,350
849,350
850,350
851,350
852,350
853,349
854,349
855,349
856,349
857,349
858,348
859,348
860,348
861,348
862,348
863,348
864,347
865,347
866,347
867,347
868,347
869,346
870,346
871,346
872,346
873,346
874,345
875,345
876,345
877,345
878,345
879,345
880,344
881,344
882,344
883,344
884,344
885,343
886,343
887,343
888,343
889,343
890,342
891,342
892,342
893,342
894,342
895,342
896,341
897,341
898,341
899,341
900,341
901,340
902,340
903,340
904,340
905,340
906,340
907,339
908,339
909,339
910,339
911,339
912,338
913,338
914,338
915,338
916,338
917,338
918,337
919,337
920,337
921,337
922,337
923,337
924,336
925,336
926,336
927,336
928,336
929,335
930,335
931,335
932,335
933,335
934,335
935,334
936,334
937,334
938,334
939,334
940,334
941,333
942,333
943,333
944,333
945,333
946,333
947,332
948,332
949,332
950,332
951,332
952,331
953,331
954,331
955,331
956,331
957,331
958,330
959,330
960,330
961,330
962,330
963,330
964,329
965,329
966,329
967,329
968,329
969,329
970,328
971,328
972,328
973,328
974,328
975,328
976,327
977,327
978,327
979,327
980,327
981,327
982,326
983,326
984,326
985,326
986,326
987,326
988,325
989,325
990,325
991,325
992,325
993,325
994,324
995,324
996,324
997,324
998,324
999,324
1000,323
1001,323
1002,323
1003,323
1004,323
1005,323
1006,322
1007,322
1008,322
1009,322
1010,322
1011,322
1012,321
1013,321
1014,321
1015,321
1016,321
1017,321
1018,320
1019,320
1020,320
1021,320
1022,320
1023,320
